stateCode,stateName,localBodyCode,localBodyName,localBodyType,districtCode,districtName,status
3,Punjab,248364,Goniana,Municipality,28.0,Bathinda,FULL MATCH
3,Punjab,248366,Bhucho Mandi,Municipality,28.0,Bathinda,FULL MATCH
3,Punjab,248367,Bathinda,Municipal Corporations,28.0,Bathinda,FULL MATCH
3,Punjab,248368,Sangat,Municipality,28.0,Bathinda,FULL MATCH
3,Punjab,248369,Kot Fatta,Municipality,28.0,Bathinda,FULL MATCH
3,Punjab,248370,Raman,Municipality,28.0,Bathinda,FULL MATCH
3,Punjab,248371,Maur,Municipality,28.0,Bathinda,FULL MATCH
3,Punjab,248375,Bhikhi,Town Panchayat,28.0,Bathinda,FULL MATCH
3,Punjab,248376,Mansa,Municipality,28.0,Bathinda,FULL MATCH
3,Punjab,253124,Talwandi Sabo,Town Panchayat,28.0,Bathinda,FULL MATCH
3,Punjab,260770,Bhai Rupa,Town Panchayat,28.0,Bathinda,FULL MATCH
3,Punjab,260771,Mehraj,Town Panchayat,28.0,Bathinda,FULL MATCH
3,Punjab,260778,Lehra Mohabat,Town Panchayat,28.0,Bathinda,FULL MATCH
3,Punjab,260779,Nathana,Town Panchayat,28.0,Bathinda,FULL MATCH
3,Punjab,260780,Kotha Guru,Town Panchayat,28.0,Bathinda,FULL MATCH
3,Punjab,260781,Maluka,Town Panchayat,28.0,Bathinda,FULL MATCH
3,Punjab,260782,Kot Shamir,Town Panchayat,28.0,Bathinda,FULL MATCH
3,Punjab,262906,Joga,Town Panchayat,28.0,Bathinda,FULL MATCH
3,Punjab,276562,Bhagta Bhai Ka Nagar Panchayat,Town Panchayat,28.0,Bathinda,FULL MATCH
3,Punjab,248358,Bariwala,Town Panchayat,29.0,Faridkot,FULL MATCH
3,Punjab,248360,Faridkot,Municipality,29.0,Faridkot,FULL MATCH
3,Punjab,248361,Kot Kapura,Municipality,29.0,Faridkot,FULL MATCH
3,Punjab,248362,Jaitu,Municipality,29.0,Faridkot,FULL MATCH
3,Punjab,248327,Bassi Pathana,Municipality,30.0,Fatehgarh Sahib,FULL MATCH
3,Punjab,248328,Sirhind Fatehgarh Sahib,Municipality,30.0,Fatehgarh Sahib,FULL MATCH
3,Punjab,248329,Gobindgarh,Municipality,30.0,Fatehgarh Sahib,FULL MATCH
3,Punjab,248330,Amloh,Municipality,30.0,Fatehgarh Sahib,FULL MATCH
3,Punjab,248331,Khamanon,Town Panchayat,30.0,Fatehgarh Sahib,FULL MATCH
3,Punjab,248402,Ghanaur,Town Panchayat,30.0,Fatehgarh Sahib,FULL MATCH
3,Punjab,261762,Bhadson,Town Panchayat,30.0,Fatehgarh Sahib,FULL MATCH
3,Punjab,248346,Dharamkot,Municipality,31.0,Ferozepur,FULL MATCH
3,Punjab,248348,Makhu,Town Panchayat,31.0,Ferozepur,FULL MATCH
3,Punjab,248349,Zira,Municipality,31.0,Ferozepur,FULL MATCH
3,Punjab,248350,Talwandi Bhai,Municipality,31.0,Ferozepur,FULL MATCH
3,Punjab,248351,Firozpur,Municipality,31.0,Ferozepur,FULL MATCH
3,Punjab,248352,Guru Har Sahai,Municipality,31.0,Ferozepur,FULL MATCH
3,Punjab,248353,Jalalabad,Municipality,31.0,Ferozepur,FULL MATCH
3,Punjab,253122,Mudki,Town Panchayat,31.0,Ferozepur,FULL MATCH
3,Punjab,253222,Mallanwala,Town Panchayat,31.0,Ferozepur,FULL MATCH
3,Punjab,262989,Kot Ise Khan,Town Panchayat,31.0,Ferozepur,FULL MATCH
3,Punjab,276647,Fatehgarh Panjtoor,Town Panchayat,31.0,Ferozepur,FULL MATCH
3,Punjab,277197,Mamdot,Town Panchayat,31.0,Ferozepur,FULL MATCH
3,Punjab,248254,Sujanpur,Municipality,32.0,Gurdaspur,FULL MATCH
3,Punjab,248256,Pathankot,Municipal Corporations,32.0,Gurdaspur,FULL MATCH
3,Punjab,248259,Dinanagar,Municipality,32.0,Gurdaspur,FULL MATCH
3,Punjab,248260,Gurdaspur,Municipality,32.0,Gurdaspur,FULL MATCH
3,Punjab,248262,Dhariwal,Municipality,32.0,Gurdaspur,FULL MATCH
3,Punjab,248263,Fatehgarh Churian,Municipality,32.0,Gurdaspur,FULL MATCH
3,Punjab,248264,Batala,Municipal Corporations,32.0,Gurdaspur,FULL MATCH
3,Punjab,248265,Sri Hargobindpur,Municipality,32.0,Gurdaspur,FULL MATCH
3,Punjab,248266,Qadian,Municipality,32.0,Gurdaspur,FULL MATCH
3,Punjab,248267,Dera Baba Nanak,Municipality,32.0,Gurdaspur,FULL MATCH
3,Punjab,277202,Norat Jamal Singh,Town Panchayat,32.0,Gurdaspur,FULL MATCH
3,Punjab,248281,Bhulath,Town Panchayat,34.0,Jalandhar,FULL MATCH
3,Punjab,248285,Sultanpur Lodhi,Municipality,34.0,Jalandhar,FULL MATCH
3,Punjab,248286,Phagwara,Municipal Corporations,34.0,Jalandhar,FULL MATCH
3,Punjab,248287,Lohian Khas,Town Panchayat,34.0,Jalandhar,FULL MATCH
3,Punjab,248288,Shahkot,Town Panchayat,34.0,Jalandhar,FULL MATCH
3,Punjab,248289,Nakodar,Municipality,34.0,Jalandhar,FULL MATCH
3,Punjab,248291,Nurmahal,Municipality,34.0,Jalandhar,FULL MATCH
3,Punjab,248292,Goraya,Municipality,34.0,Jalandhar,FULL MATCH
3,Punjab,248293,Phillaur,Municipality,34.0,Jalandhar,FULL MATCH
3,Punjab,248294,Adampur,Municipality,34.0,Jalandhar,FULL MATCH
3,Punjab,248295,Alawalpur,Municipality,34.0,Jalandhar,FULL MATCH
3,Punjab,248296,Jalandhar,Municipal Corporations,34.0,Jalandhar,FULL MATCH
3,Punjab,248298,Bhogpur,Municipality,34.0,Jalandhar,FULL MATCH
3,Punjab,248299,Kartarpur,Municipality,34.0,Jalandhar,FULL MATCH
3,Punjab,274218,Nadala,Town Panchayat,34.0,Jalandhar,FULL MATCH
3,Punjab,277200,Bilga,Town Panchayat,34.0,Jalandhar,FULL MATCH
3,Punjab,277201,Mehatpur,Town Panchayat,34.0,Jalandhar,FULL MATCH
3,Punjab,248280,Begowal,Town Panchayat,35.0,Kapurthala,FULL MATCH
3,Punjab,248281,Bhulath,Town Panchayat,35.0,Kapurthala,FULL MATCH
3,Punjab,248282,Dhilwan,Town Panchayat,35.0,Kapurthala,FULL MATCH
3,Punjab,248283,Kapurthala,Municipal Corporations,35.0,Kapurthala,FULL MATCH
3,Punjab,248285,Sultanpur Lodhi,Municipality,35.0,Kapurthala,FULL MATCH
3,Punjab,248286,Phagwara,Municipal Corporations,35.0,Kapurthala,FULL MATCH
3,Punjab,248287,Lohian Khas,Town Panchayat,35.0,Kapurthala,FULL MATCH
3,Punjab,248288,Shahkot,Town Panchayat,35.0,Kapurthala,FULL MATCH
3,Punjab,248289,Nakodar,Municipality,35.0,Kapurthala,FULL MATCH
3,Punjab,248291,Nurmahal,Municipality,35.0,Kapurthala,FULL MATCH
3,Punjab,248299,Kartarpur,Municipality,35.0,Kapurthala,FULL MATCH
3,Punjab,274218,Nadala,Town Panchayat,35.0,Kapurthala,FULL MATCH
3,Punjab,277201,Mehatpur,Town Panchayat,35.0,Kapurthala,FULL MATCH
3,Punjab,248332,Samrala,Municipality,36.0,Ludhiana,FULL MATCH
3,Punjab,248333,Machhiwara,Municipality,36.0,Ludhiana,FULL MATCH
3,Punjab,248334,Khanna,Municipality,36.0,Ludhiana,FULL MATCH
3,Punjab,248335,Maloud,Town Panchayat,36.0,Ludhiana,FULL MATCH
3,Punjab,248336,Payal,Municipality,36.0,Ludhiana,FULL MATCH
3,Punjab,248337,Doraha,Municipality,36.0,Ludhiana,FULL MATCH
3,Punjab,248338,Ludhiana,Municipal Corporations,36.0,Ludhiana,FULL MATCH
3,Punjab,248339,Sahnewal,Municipality,36.0,Ludhiana,FULL MATCH
3,Punjab,248340,Mullanpur Dakha,Municipality,36.0,Ludhiana,FULL MATCH
