localBodyCode,localBodyName,stateCode,stateName,lb_pincodes,total_lb_pincodes,num_candidate_districts,candidate_districts,overlap_percentages,top_districtCode,top_districtName,top_overlap_%,2nd_districtCode,2nd_districtName,2nd_overlap_%,disparity_value,disparity_category,unmatched_pin_count,unmatched_pincodes
248752,Kuchera,8,Rajasthan,"[313325, 328024, 328027, 341024]",4,4,98:Dholpur(50.0%) | 110:Nagaur(25.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 110: 25.0, 112: 25.0, 117: 25.0}",98,Dholpur,50.0,110.0,Nagaur,25.0,25.0,MODERATE DISPARITY,0,
248753,Merta City,8,Rajasthan,"[313325, 328024, 328027, 341510]",4,4,98:Dholpur(50.0%) | 110:Nagaur(25.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 110: 25.0, 112: 25.0, 117: 25.0}",98,Dholpur,50.0,110.0,Nagaur,25.0,25.0,MODERATE DISPARITY,0,
277169,Mandvi Kachchh,24,Gujarat,"[370465, 387130]",2,2,449:Kachchh(50.0%) | 450:Kheda(50.0%),"{449: 50.0, 450: 50.0}",449,Kachchh,50.0,450.0,Kheda,50.0,0.0,LOW DISPARITY,0,
277186,Belhara,9,Uttar Pradesh,"[225305, 231312]",2,2,129:Bara Banki(50.0%) | 170:Mirzapur(50.0%),"{129: 50.0, 170: 50.0}",129,Bara Banki,50.0,170.0,Mirzapur,50.0,0.0,LOW DISPARITY,0,
272898,Mukkom,32,Kerala,"[673602, 682301, 682304, 683104]",4,2,555:Ernakulam(50.0%) | 561:Kozhikode(25.0%),"{555: 50.0, 561: 25.0}",555,Ernakulam,50.0,561.0,Kozhikode,25.0,25.0,MODERATE DISPARITY,1,[683104]
272899,Ramanattukara,32,Kerala,"[673633, 682301, 682304, 683104]",4,3,555:Ernakulam(50.0%) | 561:Kozhikode(25.0%) | 562:Malappuram(25.0%),"{555: 50.0, 561: 25.0, 562: 25.0}",555,Ernakulam,50.0,561.0,Kozhikode,25.0,25.0,MODERATE DISPARITY,1,[683104]
272900,Feroke,32,Kerala,"[673631, 682301, 682304, 683104]",4,2,555:Ernakulam(50.0%) | 561:Kozhikode(25.0%),"{555: 50.0, 561: 25.0}",555,Ernakulam,50.0,561.0,Kozhikode,25.0,25.0,MODERATE DISPARITY,1,[683104]
272901,Kondotty,32,Kerala,"[673638, 682301, 682304, 683104]",4,2,555:Ernakulam(50.0%) | 562:Malappuram(25.0%),"{555: 50.0, 562: 25.0}",555,Ernakulam,50.0,562.0,Malappuram,25.0,25.0,MODERATE DISPARITY,1,[683104]
248755,Parbatsar,8,Rajasthan,"[313325, 328024, 328027, 341512]",4,5,98:Dholpur(50.0%) | 110:Nagaur(25.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%) | 768:Didwana-Kuchaman(25.0%),"{98: 50.0, 110: 25.0, 112: 25.0, 117: 25.0, 768: 25.0}",98,Dholpur,50.0,110.0,Nagaur,25.0,25.0,MODERATE DISPARITY,0,
272903,Tirurangadi,32,Kerala,"[676306, 682301, 682304, 683104]",4,2,555:Ernakulam(50.0%) | 562:Malappuram(25.0%),"{555: 50.0, 562: 25.0}",555,Ernakulam,50.0,562.0,Malappuram,25.0,25.0,MODERATE DISPARITY,1,[683104]
272904,Tanur,32,Kerala,"[676302, 682301, 682304, 683104]",4,2,555:Ernakulam(50.0%) | 562:Malappuram(25.0%),"{555: 50.0, 562: 25.0}",555,Ernakulam,50.0,562.0,Malappuram,25.0,25.0,MODERATE DISPARITY,1,[683104]
248757,Kuchaman City,8,Rajasthan,"[313325, 328024, 328027, 341508]",4,4,98:Dholpur(50.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%) | 768:Didwana-Kuchaman(25.0%),"{98: 50.0, 112: 25.0, 117: 25.0, 768: 25.0}",98,Dholpur,50.0,112.0,Rajsamand,25.0,25.0,MODERATE DISPARITY,0,
277234,Pindwara,8,Rajasthan,"[307022, 313325, 328024, 328027]",4,4,98:Dholpur(50.0%) | 112:Rajsamand(25.0%) | 115:Sirohi(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 112: 25.0, 115: 25.0, 117: 25.0}",98,Dholpur,50.0,112.0,Rajsamand,25.0,25.0,MODERATE DISPARITY,0,
277235,Shahpura..(Bhilwara),8,Rajasthan,"[311404, 313325, 328024, 328027]",4,4,98:Dholpur(50.0%) | 92:Bhilwara(25.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 92: 25.0, 112: 25.0, 117: 25.0}",98,Dholpur,50.0,92.0,Bhilwara,25.0,25.0,MODERATE DISPARITY,0,
277531,Laalganj,9,Uttar Pradesh,"[230132, 231312]",2,2,170:Mirzapur(50.0%) | 174:Pratapgarh(50.0%),"{170: 50.0, 174: 50.0}",170,Mirzapur,50.0,174.0,Pratapgarh,50.0,0.0,LOW DISPARITY,0,
277601,Khatushyamji,8,Rajasthan,"[313325, 328024, 328027, 332602]",4,4,98:Dholpur(50.0%) | 112:Rajsamand(25.0%) | 114:Sikar(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 112: 25.0, 114: 25.0, 117: 25.0}",98,Dholpur,50.0,112.0,Rajsamand,25.0,25.0,MODERATE DISPARITY,0,
277602,Partapur -Garhi,8,Rajasthan,"[313325, 327024, 328024, 328027]",4,4,98:Dholpur(50.0%) | 88:Banswara(25.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 88: 25.0, 112: 25.0, 117: 25.0}",98,Dholpur,50.0,88.0,Banswara,25.0,25.0,MODERATE DISPARITY,0,
290149,Shamshabad,36,Telangana,"[500108, 501218]",2,1,518:Ranga Reddy(50.0%),{518: 50.0},518,Ranga Reddy,50.0,,,,50.0,HIGH DISPARITY,1,[500108]
290151,Bollaram,36,Telangana,"[500010, 502325]",2,3,507:Hyderabad(50.0%) | 691:Sangareddy(50.0%) | 700:Medchal Malkajgiri(50.0%),"{507: 50.0, 691: 50.0, 700: 50.0}",507,Hyderabad,50.0,691.0,Sangareddy,50.0,0.0,LOW DISPARITY,0,
290251,Dhakia,9,Uttar Pradesh,"[244401, 246762]",2,2,132:Bijnor(50.0%) | 171:Moradabad(50.0%),"{132: 50.0, 171: 50.0}",132,Bijnor,50.0,171.0,Moradabad,50.0,0.0,LOW DISPARITY,0,
290358,Kadegaon.,27,Maharashtra,"[415304, 441101]",2,2,484:Nagpur(50.0%) | 493:Sangli(50.0%),"{484: 50.0, 493: 50.0}",484,Nagpur,50.0,493.0,Sangli,50.0,0.0,LOW DISPARITY,0,
290382,Niwari,23,Madhya Pradesh,"[472442, 481776]",2,3,415:Mandla(50.0%) | 434:Tikamgarh(50.0%) | 722:Niwari(50.0%),"{415: 50.0, 434: 50.0, 722: 50.0}",415,Mandla,50.0,434.0,Tikamgarh,50.0,0.0,LOW DISPARITY,0,
