stateCode,localBodyCode,localBodyName,localBodyType,districtCode,districtName,status
22,250669,Dantewada,Municipality,"374, 376, 636",Bastar | Dakshin Bastar Dantewada | Bijapur,FULL MATCH
22,250670,Bade Bacheli,Municipality,376,Dakshin Bastar Dantewada,FULL MATCH
22,250671,Kirandul,Municipality,376,Dakshin Bastar Dantewada,FULL MATCH
23,250672,Vijaypur,Town Panchayat,431,Sheopur,FULL MATCH
23,250673,Sheopur,Municipality,431,Sheopur,FULL MATCH
23,250674,Badoda,Town Panchayat,431,Sheopur,FULL MATCH
23,250675,Ambah,Municipality,417,Morena,FULL MATCH
23,250676,Porsa,Municipality,417,Morena,FULL MATCH
23,250677,Morena,Municipal Corporations,417,Morena,FULL MATCH
23,250678,Banmor,Town Panchayat,417,Morena,FULL MATCH
23,250679,Joura,Town Panchayat,417,Morena,FULL MATCH
23,250680,Kailaras,Town Panchayat,417,Morena,FULL MATCH
23,250681,Jhundpura,Town Panchayat,417,Morena,FULL MATCH
23,250682,Sabalgarh,Municipality,417,Morena,FULL MATCH
23,250683,Phuphkalan,Town Panchayat,395,Bhind,FULL MATCH
23,250684,Bhind,Municipality,395,Bhind,FULL MATCH
23,250685,Akoda,Town Panchayat,395,Bhind,FULL MATCH
23,250686,Gormi,Town Panchayat,395,Bhind,FULL MATCH
23,250688,Gohad,Municipality,395,Bhind,FULL MATCH
23,250689,Mau,Town Panchayat,395,Bhind,FULL MATCH
23,250690,Mihona,Town Panchayat,395,Bhind,FULL MATCH
23,250691,Lahar,Municipality,395,Bhind,FULL MATCH
23,250692,Alampur,Town Panchayat,395,Bhind,FULL MATCH
23,250693,Daboh,Town Panchayat,395,Bhind,FULL MATCH
23,250694,Gwalior,Municipal Corporations,407,Gwalior,AMBIGUOUS MATCH
23,250695,Bilaua,Town Panchayat,407,Gwalior,FULL MATCH
23,250697,Pichhore Gwalior,Town Panchayat,407,Gwalior,FULL MATCH
23,250698,Dabra,Municipality,407,Gwalior,FULL MATCH
23,250699,Antari,Town Panchayat,407,Gwalior,FULL MATCH
23,250700,Bhitarwar,Town Panchayat,407,Gwalior,FULL MATCH
23,250701,Seondha,Town Panchayat,401,Datia,FULL MATCH
23,250702,Indergarh,Town Panchayat,401,Datia,FULL MATCH
23,250703,Datia,Municipality,401,Datia,FULL MATCH
23,250704,Bhander,Town Panchayat,401,Datia,FULL MATCH
23,250705,Shivpuri,Municipality,432,Shivpuri,FULL MATCH
23,250706,Narwar,Town Panchayat,432,Shivpuri,FULL MATCH
23,250707,Karera,Town Panchayat,432,Shivpuri,FULL MATCH
23,250708,Kolaras,Town Panchayat,432,Shivpuri,FULL MATCH
23,250709,Badarwas,Town Panchayat,432,Shivpuri,FULL MATCH
23,250710,Pichhore Shivpuri,Town Panchayat,432,Shivpuri,FULL MATCH
23,250711,Khaniyadhana,Town Panchayat,432,Shivpuri,FULL MATCH
23,250712,Isagarh,Town Panchayat,391,Ashoknagar,FULL MATCH
23,250713,Chanderi,Municipality,391,Ashoknagar,FULL MATCH
23,250714,Guna,Municipality,406,Guna,FULL MATCH
23,250715,Ashoknagar,Municipality,391,Ashoknagar,FULL MATCH
23,250716,Raghogarh-Vijaypur,Municipality,406,Guna,FULL MATCH
23,250717,Mungaoli,Town Panchayat,391,Ashoknagar,FULL MATCH
23,250718,Kumbhraj,Town Panchayat,406,Guna,FULL MATCH
23,250719,Aron,Town Panchayat,406,Guna,FULL MATCH
23,250720,Chachaura -Binaganj,Town Panchayat,406,Guna,FULL MATCH
23,250733,Badagaon Shajapur,Town Panchayat,430,Shajapur,FULL MATCH
23,250734,Barigarh,Town Panchayat,398,Chhatarpur,FULL MATCH
23,250735,Lavkush Nagar,Town Panchayat,398,Chhatarpur,FULL MATCH
23,250736,Chandla,Town Panchayat,398,Chhatarpur,FULL MATCH
23,250737,Harpalpur,Town Panchayat,398,Chhatarpur,FULL MATCH
23,250738,Nowgong,Municipality,398,Chhatarpur,FULL MATCH
23,250739,Garhi -Malhara,Town Panchayat,398,Chhatarpur,FULL MATCH
23,250740,Maharajpur,Municipality,398,Chhatarpur,FULL MATCH
23,250741,Chhatarpur,Municipality,398,Chhatarpur,FULL MATCH
23,250742,Rajnagar,Town Panchayat,398,Chhatarpur,FULL MATCH
23,250743,Khajuraho,Town Panchayat,398,Chhatarpur,FULL MATCH
23,250744,Bada -Malhera,Town Panchayat,398,Chhatarpur,FULL MATCH
23,250745,Ghuwara,Town Panchayat,398,Chhatarpur,FULL MATCH
23,250746,Satai,Town Panchayat,398,Chhatarpur,FULL MATCH
23,250747,Bijawar,Town Panchayat,"398, 425",Chhatarpur | Sagar,FULL MATCH
23,250748,Buxwaha,Town Panchayat,398,Chhatarpur,FULL MATCH
23,250749,Ajaygarh,Town Panchayat,420,Panna,FULL MATCH
23,250750,Panna,Municipality,"420, 426",Panna | Satna,FULL MATCH
23,250751,Devendranagar,Town Panchayat,"420, 426",Panna | Satna,FULL MATCH
23,250752,Kakarhati,Town Panchayat,420,Panna,FULL MATCH
23,250753,Amanganj,Town Panchayat,420,Panna,FULL MATCH
23,250754,Pawai,Town Panchayat,"420, 426",Panna | Satna,FULL MATCH
23,250755,Bina,Municipality,425,Sagar,FULL MATCH
23,250756,Chand,Town Panchayat,399,Chhindwara,FULL MATCH
23,250758,Khurai,Municipality,425,Sagar,FULL MATCH
23,250759,Shahgarh,Town Panchayat,425,Sagar,FULL MATCH
23,250760,Banda,Town Panchayat,425,Sagar,FULL MATCH
23,250761,Rahatgarh,Town Panchayat,425,Sagar,FULL MATCH
23,250764,Sagar,Municipal Corporations,425,Sagar,FULL MATCH
23,250766,Makronia Buzurg,Municipality,425,Sagar,FULL MATCH
