localBodyCode,status,matched_district(s)
250614,FULL MATCH,647
250615,FULL MATCH,"375, 647"
250616,FULL MATCH,375
250621,FULL MATCH,375
250622,FULL MATCH,"375, 647"
250623,FULL MATCH,382
250624,FULL MATCH,382
250625,FULL MATCH,"382, 759"
250626,FULL MATCH,759
250628,FULL MATCH,"388, 761"
250629,FULL MATCH,388
250630,FULL MATCH,388
250631,FULL MATCH,"388, 646, 761"
250632,FULL MATCH,650
250633,FULL MATCH,650
250634,FULL MATCH,"378, 650"
250635,FULL MATCH,"378, 650"
250636,FULL MATCH,378
250637,FULL MATCH,378
250638,FULL MATCH,378
250639,AMBIGUOUS MATCH,378
250640,AMBIGUOUS MATCH,"378, 388"
250641,FULL MATCH,378
250642,FULL MATCH,646
250643,FULL MATCH,646
250644,FULL MATCH,"387, 644"
250645,FULL MATCH,644
250646,FULL MATCH,387
250647,FULL MATCH,644
250648,FULL MATCH,644
250649,FULL MATCH,"387, 645"
250650,FULL MATCH,"387, 644"
250651,FULL MATCH,644
250652,FULL MATCH,"387, 644, 763"
250653,FULL MATCH,387
250654,FULL MATCH,644
250655,FULL MATCH,387
250656,FULL MATCH,"644, 763"
250657,FULL MATCH,387
250658,FULL MATCH,385
250659,FULL MATCH,385
250660,FULL MATCH,"385, 644"
250661,FULL MATCH,385
250662,FULL MATCH,385
250663,FULL MATCH,"377, 381, 643"
250664,FULL MATCH,643
250665,FULL MATCH,374
250668,FULL MATCH,"374, 376"
250669,FULL MATCH,"374, 376, 636"
250670,FULL MATCH,376
250671,FULL MATCH,376
250672,FULL MATCH,431
250673,FULL MATCH,431
250674,FULL MATCH,431
250675,FULL MATCH,417
250676,FULL MATCH,417
250677,FULL MATCH,417
250678,FULL MATCH,417
250679,FULL MATCH,417
250680,FULL MATCH,417
250681,FULL MATCH,417
250682,FULL MATCH,417
250683,FULL MATCH,395
250684,FULL MATCH,395
250685,FULL MATCH,395
250686,FULL MATCH,395
250688,FULL MATCH,395
250689,FULL MATCH,395
250690,FULL MATCH,395
250691,FULL MATCH,395
250692,FULL MATCH,395
250693,FULL MATCH,395
250694,AMBIGUOUS MATCH,407
250695,FULL MATCH,407
250697,FULL MATCH,407
250698,FULL MATCH,407
250699,FULL MATCH,407
250700,FULL MATCH,407
250701,FULL MATCH,401
250702,FULL MATCH,401
250703,FULL MATCH,401
250704,FULL MATCH,401
250705,FULL MATCH,432
250706,FULL MATCH,432
250707,FULL MATCH,432
250708,FULL MATCH,432
250709,FULL MATCH,432
250710,FULL MATCH,432
250711,FULL MATCH,432
250712,FULL MATCH,391
250713,FULL MATCH,391
250714,FULL MATCH,406
250715,FULL MATCH,391
250716,FULL MATCH,406
250717,FULL MATCH,391
250718,FULL MATCH,406
250719,FULL MATCH,406
250720,FULL MATCH,406
250733,FULL MATCH,430
250734,FULL MATCH,398
250735,FULL MATCH,398
250736,FULL MATCH,398
250737,FULL MATCH,398
250738,FULL MATCH,398
250739,FULL MATCH,398
250740,FULL MATCH,398
250741,FULL MATCH,398
250742,FULL MATCH,398
250743,FULL MATCH,398
250744,FULL MATCH,398
250745,FULL MATCH,398
250746,FULL MATCH,398
250747,FULL MATCH,"398, 425"
250748,FULL MATCH,398
250749,FULL MATCH,420
250750,FULL MATCH,"420, 426"
250751,FULL MATCH,"420, 426"
250752,FULL MATCH,420
250753,FULL MATCH,420
250754,FULL MATCH,"420, 426"
250755,FULL MATCH,425
250756,FULL MATCH,399
250758,FULL MATCH,425
250759,FULL MATCH,425
250760,FULL MATCH,425
250761,FULL MATCH,425
250764,FULL MATCH,425
250766,FULL MATCH,425
250768,FULL MATCH,425
250769,FULL MATCH,425
250770,FULL MATCH,425
250771,FULL MATCH,400
250772,FULL MATCH,400
250773,FULL MATCH,400
250774,FULL MATCH,400
250777,FULL MATCH,426
250778,FULL MATCH,426
250779,FULL MATCH,426
250780,FULL MATCH,426
250781,FULL MATCH,426
250782,FULL MATCH,426
250783,FULL MATCH,426
250784,FULL MATCH,426
250785,FULL MATCH,"426, 784"
250786,FULL MATCH,"426, 784"
250787,FULL MATCH,"426, 784"
250788,FULL MATCH,424
250789,FULL MATCH,424
250790,FULL MATCH,424
250791,FULL MATCH,424
250792,FULL MATCH,424
250793,FULL MATCH,424
250794,FULL MATCH,766
250795,FULL MATCH,766
250796,FULL MATCH,766
250797,FULL MATCH,424
250798,FULL MATCH,424
250799,FULL MATCH,424
250800,FULL MATCH,436
250801,FULL MATCH,436
250802,FULL MATCH,436
250803,FULL MATCH,436
250804,FULL MATCH,429
250805,FULL MATCH,429
250806,FULL MATCH,425
250807,FULL MATCH,"429, 436"
250808,FULL MATCH,429
250809,NO MATCH,
250815,FULL MATCH,425
250818,FULL MATCH,433
250819,FULL MATCH,419
250820,FULL MATCH,419
250821,FULL MATCH,419
250822,FULL MATCH,419
250823,FULL MATCH,"416, 419"
250824,FULL MATCH,419
250825,FULL MATCH,419
250826,AMBIGUOUS MATCH,"396, 419, 427"
250827,AMBIGUOUS MATCH,"402, 416, 419"
250828,FULL MATCH,416
250829,FULL MATCH,"416, 419"
250830,FULL MATCH,"416, 419"
250831,FULL MATCH,416
250832,FULL MATCH,416
250833,FULL MATCH,416
250834,FULL MATCH,416
250835,FULL MATCH,416
250836,FULL MATCH,423
250837,FULL MATCH,423
250838,FULL MATCH,423
250839,FULL MATCH,423
250840,FULL MATCH,423
250841,FULL MATCH,423
250842,FULL MATCH,423
250843,FULL MATCH,423
250845,FULL MATCH,435
250846,FULL MATCH,435
250847,FULL MATCH,435
250849,FULL MATCH,435
250850,FULL MATCH,435
250851,FULL MATCH,435
250852,FULL MATCH,435
250853,FULL MATCH,667
250854,FULL MATCH,667
250855,FULL MATCH,667
250857,FULL MATCH,667
250858,FULL MATCH,667
250859,FULL MATCH,667
250860,FULL MATCH,430
250861,FULL MATCH,430
250862,FULL MATCH,430
250863,FULL MATCH,430
250864,FULL MATCH,430
250865,FULL MATCH,402
250866,FULL MATCH,402
250867,FULL MATCH,402
250868,FULL MATCH,402
250869,FULL MATCH,403
250870,FULL MATCH,402
250871,FULL MATCH,402
250872,FULL MATCH,402
250873,FULL MATCH,402
250875,FULL MATCH,402
250876,FULL MATCH,412
250877,FULL MATCH,412
250879,FULL MATCH,"412, 639"
250880,FULL MATCH,639
250881,FULL MATCH,639
250882,FULL MATCH,"412, 639"
250883,FULL MATCH,"412, 639"
250884,AMBIGUOUS MATCH,"402, 403"
250885,FULL MATCH,"422, 427"
250886,FULL MATCH,403
250887,FULL MATCH,403
250888,FULL MATCH,403
250889,AMBIGUOUS MATCH,"402, 403"
250891,AMBIGUOUS MATCH,"402, 403"
250892,FULL MATCH,403
250893,FULL MATCH,423
250894,FULL MATCH,403
250895,FULL MATCH,410
250896,AMBIGUOUS MATCH,"402, 410"
250897,AMBIGUOUS MATCH,"402, 410"
250898,AMBIGUOUS MATCH,"402, 410"
250900,AMBIGUOUS MATCH,"402, 410"
250901,AMBIGUOUS MATCH,410
250904,AMBIGUOUS MATCH,"402, 410"
250905,FULL MATCH,410
250906,AMBIGUOUS MATCH,"402, 410"
250907,FULL MATCH,414
250908,FULL MATCH,"393, 405, 414"
250909,FULL MATCH,"393, 414"
250910,FULL MATCH,"393, 414"
250911,FULL MATCH,"393, 414"
250912,FULL MATCH,"397, 414"
250913,FULL MATCH,"393, 397, 414"
250914,FULL MATCH,"393, 414"
250915,FULL MATCH,"393, 414"
250916,FULL MATCH,"393, 414"
250917,FULL MATCH,393
250918,FULL MATCH,393
250919,FULL MATCH,393
250920,FULL MATCH,405
250921,FULL MATCH,"405, 414"
250922,FULL MATCH,405
250923,FULL MATCH,"393, 397, 405, 414"
250924,FULL MATCH,"397, 405, 414"
250925,FULL MATCH,"397, 405"
250926,FULL MATCH,"397, 405"
250927,FULL MATCH,"397, 405"
250928,AMBIGUOUS MATCH,"393, 396, 414, 422"
250929,FULL MATCH,"396, 422"
250930,FULL MATCH,422
250931,FULL MATCH,"422, 427"
250932,FULL MATCH,422
250933,FULL MATCH,422
250934,FULL MATCH,422
250935,FULL MATCH,422
250936,FULL MATCH,422
250937,FULL MATCH,422
250938,FULL MATCH,422
250939,FULL MATCH,422
250940,FULL MATCH,437
250941,FULL MATCH,437
250942,FULL MATCH,437
250944,FULL MATCH,437
250945,FULL MATCH,396
250946,AMBIGUOUS MATCH,"396, 421"
250947,FULL MATCH,427
250948,AMBIGUOUS MATCH,"405, 427"
250949,FULL MATCH,427
250950,FULL MATCH,427
250951,FULL MATCH,"396, 427"
250952,FULL MATCH,427
250953,FULL MATCH,427
250954,FULL MATCH,421
250955,FULL MATCH,"421, 437"
250956,FULL MATCH,421
250957,FULL MATCH,421
250958,FULL MATCH,421
250959,FULL MATCH,"396, 421"
250960,FULL MATCH,421
250961,FULL MATCH,421
250962,FULL MATCH,421
250963,FULL MATCH,421
250964,FULL MATCH,394
250965,FULL MATCH,425
250966,FULL MATCH,408
250967,FULL MATCH,"396, 408"
250968,FULL MATCH,"408, 409"
250969,FULL MATCH,409
250970,AMBIGUOUS MATCH,409
250974,FULL MATCH,409
250975,FULL MATCH,409
250976,FULL MATCH,"409, 418"
250977,FULL MATCH,409
250978,AMBIGUOUS MATCH,413
250979,FULL MATCH,"411, 413"
250980,FULL MATCH,413
250981,FULL MATCH,413
250982,FULL MATCH,"411, 413"
250983,AMBIGUOUS MATCH,"411, 413, 418"
250984,FULL MATCH,392
250985,FULL MATCH,411
250986,FULL MATCH,"404, 415"
250987,FULL MATCH,411
250995,FULL MATCH,411
250996,FULL MATCH,411
250997,FULL MATCH,411
250998,FULL MATCH,418
250999,FULL MATCH,418
251000,FULL MATCH,418
251001,FULL MATCH,418
251002,FULL MATCH,418
251003,FULL MATCH,411
251007,FULL MATCH,399
251008,FULL MATCH,399
251009,FULL MATCH,399
251010,FULL MATCH,399
251018,FULL MATCH,399
251022,FULL MATCH,399
251023,NO MATCH,
251025,NO MATCH,
251026,FULL MATCH,399
251027,FULL MATCH,785
251028,FULL MATCH,415
251029,FULL MATCH,"399, 785"
251030,FULL MATCH,785
251031,FULL MATCH,428
251033,FULL MATCH,428
251034,FULL MATCH,428
251035,FULL MATCH,411
251037,FULL MATCH,392
251040,FULL MATCH,392
251041,FULL MATCH,"392, 428"
251042,FULL MATCH,392
251044,FULL MATCH,449
251045,FULL MATCH,449
251046,FULL MATCH,449
251047,FULL MATCH,449
251048,FULL MATCH,459
251050,FULL MATCH,449
251052,FULL MATCH,789
251053,FULL MATCH,"441, 789"
251055,FULL MATCH,441
251057,FULL MATCH,"441, 789"
251058,FULL MATCH,455
251059,FULL MATCH,455
251060,FULL MATCH,455
251061,FULL MATCH,455
251062,FULL MATCH,455
251063,FULL MATCH,451
251064,FULL MATCH,451
251065,FULL MATCH,451
251066,FULL MATCH,451
251067,FULL MATCH,451
251068,FULL MATCH,451
251070,FULL MATCH,451
251071,FULL MATCH,458
251072,FULL MATCH,458
251074,FULL MATCH,458
251075,FULL MATCH,458
251076,FULL MATCH,"458, 672"
251077,FULL MATCH,672
251081,FULL MATCH,446
251082,FULL MATCH,446
251088,FULL MATCH,446
251089,FULL MATCH,"438, 460"
251090,FULL MATCH,438
251096,FULL MATCH,"438, 446"
251108,FULL MATCH,438
251109,FULL MATCH,438
251110,FULL MATCH,438
251111,FULL MATCH,"460, 673"
251112,FULL MATCH,"460, 673"
251114,NO MATCH,
251116,FULL MATCH,460
251117,FULL MATCH,"438, 460"
251118,FULL MATCH,673
251119,FULL MATCH,673
251120,AMBIGUOUS MATCH,"457, 673"
251121,FULL MATCH,"439, 457"
251122,FULL MATCH,457
251123,FULL MATCH,457
251124,FULL MATCH,"447, 448, 456, 457"
251125,FULL MATCH,457
251126,FULL MATCH,457
251127,FULL MATCH,674
251129,FULL MATCH,674
251130,FULL MATCH,674
251131,FULL MATCH,674
251132,FULL MATCH,447
251133,FULL MATCH,447
251134,FULL MATCH,447
251135,FULL MATCH,447
251136,FULL MATCH,"456, 674"
251137,FULL MATCH,"447, 674"
251138,FULL MATCH,456
251141,FULL MATCH,456
251142,FULL MATCH,"448, 456"
251143,FULL MATCH,"448, 456"
251144,FULL MATCH,448
251145,FULL MATCH,448
251147,FULL MATCH,"439, 448"
251148,FULL MATCH,"448, 675"
251149,FULL MATCH,448
251150,FULL MATCH,448
251151,FULL MATCH,448
251152,FULL MATCH,675
251153,FULL MATCH,675
251154,FULL MATCH,675
251155,FULL MATCH,439
251156,FULL MATCH,439
251157,FULL MATCH,439
251158,FULL MATCH,439
251159,FULL MATCH,439
251160,FULL MATCH,439
251161,FULL MATCH,439
251162,FULL MATCH,439
251163,FULL MATCH,676
251164,FULL MATCH,676
251165,FULL MATCH,443
251166,FULL MATCH,443
251167,FULL MATCH,443
251168,FULL MATCH,"439, 443"
251169,FULL MATCH,443
251170,FULL MATCH,443
251171,FULL MATCH,"440, 450"
251172,FULL MATCH,440
251173,FULL MATCH,440
251174,FULL MATCH,440
251175,NO MATCH,
251176,FULL MATCH,440
251178,FULL MATCH,440
251179,FULL MATCH,440
251180,FULL MATCH,440
251182,FULL MATCH,440
251183,FULL MATCH,450
251184,FULL MATCH,"440, 450, 669"
251185,FULL MATCH,450
251186,NO MATCH,
251187,FULL MATCH,450
251188,FULL MATCH,450
251189,FULL MATCH,450
251190,FULL MATCH,450
251191,FULL MATCH,669
251192,FULL MATCH,"454, 669"
251193,NO MATCH,
251194,FULL MATCH,454
251196,FULL MATCH,454
251197,FULL MATCH,445
251199,FULL MATCH,445
251200,FULL MATCH,"445, 454"
251209,AMBIGUOUS MATCH,461
251211,FULL MATCH,"461, 668"
251213,FULL MATCH,461
251214,FULL MATCH,461
251215,FULL MATCH,461
251216,NO MATCH,
251219,FULL MATCH,"442, 461"
251222,FULL MATCH,442
251225,NO MATCH,
251230,FULL MATCH,"459, 641"
251231,FULL MATCH,459
251243,FULL MATCH,459
251244,FULL MATCH,641
251245,FULL MATCH,453
251249,FULL MATCH,453
251251,FULL MATCH,453
251254,FULL MATCH,462
251261,FULL MATCH,462
251262,FULL MATCH,462
251264,FULL MATCH,462
251269,FULL MATCH,462
251271,FULL MATCH,464
251272,FULL MATCH,463
251273,FULL MATCH,"462, 465"
251275,FULL MATCH,486
251277,FULL MATCH,486
251278,FULL MATCH,"474, 486"
251279,FULL MATCH,"474, 486"
251280,FULL MATCH,474
251281,FULL MATCH,"474, 486"
251282,FULL MATCH,474
251283,FULL MATCH,478
251284,FULL MATCH,478
251285,FULL MATCH,478
251286,FULL MATCH,478
251287,FULL MATCH,478
251290,FULL MATCH,478
251292,FULL MATCH,478
251293,AMBIGUOUS MATCH,"466, 478"
251294,FULL MATCH,478
251295,FULL MATCH,478
251296,NO MATCH,
251297,FULL MATCH,478
251298,FULL MATCH,472
251299,FULL MATCH,472
251300,FULL MATCH,472
251301,FULL MATCH,472
251302,FULL MATCH,472
251303,FULL MATCH,472
251304,FULL MATCH,472
251305,FULL MATCH,472
251306,FULL MATCH,472
251307,FULL MATCH,472
251308,FULL MATCH,472
251309,FULL MATCH,467
251310,FULL MATCH,467
251311,FULL MATCH,467
251312,FULL MATCH,467
251314,FULL MATCH,494
251315,FULL MATCH,"467, 499"
251316,FULL MATCH,467
251317,FULL MATCH,499
251318,FULL MATCH,"467, 499"
251319,FULL MATCH,499
251320,FULL MATCH,499
251322,FULL MATCH,468
251323,FULL MATCH,468
251324,FULL MATCH,468
251325,FULL MATCH,468
251326,FULL MATCH,468
251327,FULL MATCH,468
251328,AMBIGUOUS MATCH,468
251329,FULL MATCH,468
251330,FULL MATCH,468
251331,FULL MATCH,468
251332,FULL MATCH,498
251333,FULL MATCH,498
251334,FULL MATCH,498
251336,FULL MATCH,498
251337,FULL MATCH,498
251338,FULL MATCH,498
251339,FULL MATCH,484
251340,FULL MATCH,484
251341,FULL MATCH,484
251342,FULL MATCH,484
251343,FULL MATCH,484
251344,FULL MATCH,484
251345,FULL MATCH,484
251350,FULL MATCH,484
251353,FULL MATCH,"471, 484"
251356,FULL MATCH,484
251358,FULL MATCH,"471, 484"
251359,FULL MATCH,484
251362,AMBIGUOUS MATCH,484
251363,FULL MATCH,484
251366,FULL MATCH,"471, 484"
251370,FULL MATCH,476
251371,FULL MATCH,"471, 476"
251373,FULL MATCH,473
251375,FULL MATCH,473
251376,FULL MATCH,473
251381,FULL MATCH,473
251382,FULL MATCH,473
251384,FULL MATCH,473
251386,FULL MATCH,500
251389,FULL MATCH,500
251390,FULL MATCH,500
251391,FULL MATCH,500
251393,FULL MATCH,500
251394,FULL MATCH,500
251395,FULL MATCH,500
251397,FULL MATCH,500
251398,FULL MATCH,485
251399,FULL MATCH,"477, 485"
251401,FULL MATCH,485
251402,FULL MATCH,485
251403,FULL MATCH,485
251404,FULL MATCH,485
251405,FULL MATCH,485
251406,FULL MATCH,485
251407,FULL MATCH,485
251408,FULL MATCH,485
251409,FULL MATCH,485
251410,FULL MATCH,485
251411,FULL MATCH,477
251412,FULL MATCH,477
251413,FULL MATCH,"477, 489"
251414,FULL MATCH,"479, 489"
251415,FULL MATCH,"477, 489"
251416,FULL MATCH,489
251417,FULL MATCH,489
251418,FULL MATCH,"479, 489"
251419,FULL MATCH,489
251420,FULL MATCH,489
251421,FULL MATCH,489
251422,FULL MATCH,469
251423,AMBIGUOUS MATCH,469
251424,AMBIGUOUS MATCH,"469, 479"
251425,FULL MATCH,"479, 489"
251426,FULL MATCH,469
251428,FULL MATCH,469
251430,FULL MATCH,469
251431,FULL MATCH,469
251432,FULL MATCH,469
251433,FULL MATCH,469
251434,FULL MATCH,487
251435,FULL MATCH,487
251436,FULL MATCH,469
251438,FULL MATCH,487
251439,FULL MATCH,487
251440,FULL MATCH,487
251441,FULL MATCH,487
251442,AMBIGUOUS MATCH,487
251444,FULL MATCH,487
251445,FULL MATCH,487
251447,FULL MATCH,487
251450,FULL MATCH,487
251451,FULL MATCH,665
251453,FULL MATCH,665
251460,FULL MATCH,665
251463,FULL MATCH,665
251470,FULL MATCH,497
251471,AMBIGUOUS MATCH,497
251472,NO MATCH,
251477,FULL MATCH,497
251483,FULL MATCH,497
251484,AMBIGUOUS MATCH,497
251485,FULL MATCH,497
251486,FULL MATCH,497
251487,FULL MATCH,497
251488,NO MATCH,
251491,FULL MATCH,491
251492,FULL MATCH,"483, 491, 497"
251497,NO MATCH,
251498,FULL MATCH,491
251501,FULL MATCH,"491, 497"
251502,FULL MATCH,491
251503,FULL MATCH,491
251504,FULL MATCH,491
251506,FULL MATCH,491
251510,AMBIGUOUS MATCH,"471, 476, 491"
251511,FULL MATCH,491
251512,FULL MATCH,491
251513,FULL MATCH,491
251516,FULL MATCH,490
251518,FULL MATCH,490
251520,FULL MATCH,490
251521,FULL MATCH,490
251522,FULL MATCH,490
251526,FULL MATCH,490
251528,AMBIGUOUS MATCH,490
251530,AMBIGUOUS MATCH,490
251531,FULL MATCH,490
251532,FULL MATCH,490
251533,FULL MATCH,490
251535,FULL MATCH,"490, 494"
251536,FULL MATCH,490
251537,FULL MATCH,490
251539,FULL MATCH,466
251540,FULL MATCH,466
251542,FULL MATCH,466
251543,FULL MATCH,466
251544,FULL MATCH,466
251546,FULL MATCH,466
251548,FULL MATCH,466
251551,FULL MATCH,466
251552,FULL MATCH,466
251553,FULL MATCH,466
251554,FULL MATCH,466
251555,FULL MATCH,470
251556,FULL MATCH,470
251557,FULL MATCH,470
251558,FULL MATCH,470
251559,FULL MATCH,470
251560,FULL MATCH,470
251561,FULL MATCH,481
251562,FULL MATCH,481
251563,FULL MATCH,481
251564,FULL MATCH,481
251565,FULL MATCH,481
251566,FULL MATCH,488
251567,FULL MATCH,488
251568,FULL MATCH,488
251569,NO MATCH,
251570,FULL MATCH,488
251571,FULL MATCH,488
251572,FULL MATCH,488
251573,FULL MATCH,488
251574,FULL MATCH,496
251575,FULL MATCH,496
251576,FULL MATCH,496
251577,AMBIGUOUS MATCH,496
251579,FULL MATCH,496
251580,FULL MATCH,496
251581,FULL MATCH,496
251582,FULL MATCH,496
251583,FULL MATCH,496
251584,FULL MATCH,494
251585,FULL MATCH,494
251586,FULL MATCH,494
251588,FULL MATCH,494
251589,FULL MATCH,494
251590,FULL MATCH,494
251593,FULL MATCH,494
251596,FULL MATCH,494
251598,FULL MATCH,494
251599,FULL MATCH,492
251601,FULL MATCH,492
251602,FULL MATCH,492
251604,FULL MATCH,492
251605,FULL MATCH,492
251607,FULL MATCH,492
251608,FULL MATCH,492
251609,FULL MATCH,495
251610,FULL MATCH,495
251611,FULL MATCH,495
251612,FULL MATCH,495
251613,FULL MATCH,495
251614,FULL MATCH,480
251615,FULL MATCH,480
251616,FULL MATCH,480
251619,FULL MATCH,480
251621,FULL MATCH,480
251622,FULL MATCH,480
251625,AMBIGUOUS MATCH,480
251628,FULL MATCH,480
251629,FULL MATCH,480
251630,FULL MATCH,480
251631,FULL MATCH,480
251633,FULL MATCH,493
251634,FULL MATCH,493
251635,FULL MATCH,493
251636,FULL MATCH,493
251639,FULL MATCH,493
251648,FULL MATCH,682
251651,FULL MATCH,681
251652,FULL MATCH,681
251653,FULL MATCH,508
251654,FULL MATCH,683
251664,AMBIGUOUS MATCH,"507, 518, 700"
251680,FULL MATCH,694
251682,FULL MATCH,697
251684,FULL MATCH,696
251685,FULL MATCH,514
251686,FULL MATCH,514
251689,FULL MATCH,514
251690,FULL MATCH,689
251691,AMBIGUOUS MATCH,"522, 686"
251695,AMBIGUOUS MATCH,"517, 519, 790"
251696,FULL MATCH,790
251698,FULL MATCH,790
251699,AMBIGUOUS MATCH,"517, 519, 790"
251700,FULL MATCH,519
251701,FULL MATCH,743
251702,FULL MATCH,521
251703,FULL MATCH,743
251709,AMBIGUOUS MATCH,521
251711,AMBIGUOUS MATCH,"517, 521, 790"
251716,FULL MATCH,744
251719,NO MATCH,
251722,FULL MATCH,"744, 746"
251724,FULL MATCH,"505, 746"
251725,AMBIGUOUS MATCH,505
251727,FULL MATCH,746
251728,FULL MATCH,746
251731,AMBIGUOUS MATCH,746
251732,FULL MATCH,505
251733,AMBIGUOUS MATCH,"505, 747"
251735,FULL MATCH,747
251736,FULL MATCH,505
251737,FULL MATCH,505
251738,FULL MATCH,523
251739,AMBIGUOUS MATCH,748
251740,FULL MATCH,523
251741,FULL MATCH,523
251742,FULL MATCH,523
251743,NO MATCH,
251745,NO MATCH,
251746,FULL MATCH,749
251747,FULL MATCH,510
251749,FULL MATCH,510
251750,NO MATCH,
251751,FULL MATCH,751
251752,FULL MATCH,506
251753,FULL MATCH,751
251754,FULL MATCH,751
251755,NO MATCH,
251756,FULL MATCH,751
251757,AMBIGUOUS MATCH,506
251758,FULL MATCH,506
251759,FULL MATCH,506
251760,FULL MATCH,750
251761,FULL MATCH,750
251762,NO MATCH,
251763,NO MATCH,
251766,AMBIGUOUS MATCH,517
251768,FULL MATCH,517
251770,FULL MATCH,515
251772,FULL MATCH,515
251773,AMBIGUOUS MATCH,"511, 517, 790"
251774,FULL MATCH,752
251778,FULL MATCH,504
251780,FULL MATCH,504
251781,FULL MATCH,790
251782,FULL MATCH,504
251786,FULL MATCH,753
251787,FULL MATCH,511
251789,FULL MATCH,511
251792,FULL MATCH,511
251795,AMBIGUOUS MATCH,755
251797,FULL MATCH,502
251799,FULL MATCH,502
251809,FULL MATCH,527
251810,FULL MATCH,527
251811,NO MATCH,
251812,FULL MATCH,527
251813,FULL MATCH,527
251814,FULL MATCH,527
251815,FULL MATCH,527
251816,AMBIGUOUS MATCH,"524, 527"
251818,NO MATCH,
251819,FULL MATCH,527
251820,FULL MATCH,527
251824,NO MATCH,
251825,FULL MATCH,527
251827,FULL MATCH,527
251828,FULL MATCH,527
251829,FULL MATCH,527
251830,FULL MATCH,524
251831,FULL MATCH,524
251832,FULL MATCH,524
251833,FULL MATCH,524
251834,FULL MATCH,524
251835,FULL MATCH,524
251836,FULL MATCH,527
251837,FULL MATCH,524
251838,FULL MATCH,524
251839,FULL MATCH,524
251840,FULL MATCH,524
251841,FULL MATCH,524
251842,NO MATCH,
251843,FULL MATCH,530
251844,FULL MATCH,530
251845,FULL MATCH,530
251846,FULL MATCH,530
251847,FULL MATCH,530
251848,FULL MATCH,538
251849,FULL MATCH,538
251852,FULL MATCH,538
251853,FULL MATCH,538
251854,FULL MATCH,538
251855,FULL MATCH,538
251856,FULL MATCH,538
251858,FULL MATCH,538
251859,FULL MATCH,635
251860,FULL MATCH,635
251861,FULL MATCH,635
251862,FULL MATCH,"538, 635"
251863,AMBIGUOUS MATCH,635
251864,FULL MATCH,529
251865,FULL MATCH,529
251866,FULL MATCH,529
251867,FULL MATCH,529
251868,FULL MATCH,529
251869,FULL MATCH,529
251870,FULL MATCH,546
251871,FULL MATCH,546
251872,FULL MATCH,546
251873,FULL MATCH,546
251874,FULL MATCH,546
251876,NO MATCH,
251877,FULL MATCH,546
251878,FULL MATCH,546
251879,FULL MATCH,543
251880,FULL MATCH,543
251881,FULL MATCH,543
251882,FULL MATCH,543
251884,FULL MATCH,537
251885,FULL MATCH,537
251886,FULL MATCH,537
251887,FULL MATCH,537
251888,NO MATCH,
251889,FULL MATCH,537
251890,FULL MATCH,537
251891,FULL MATCH,537
251892,FULL MATCH,537
251893,FULL MATCH,536
251894,FULL MATCH,536
251895,FULL MATCH,536
251896,FULL MATCH,536
251897,FULL MATCH,536
251898,FULL MATCH,536
251899,FULL MATCH,550
251900,FULL MATCH,550
251901,FULL MATCH,550
251903,FULL MATCH,550
251904,FULL MATCH,550
251905,FULL MATCH,550
251906,FULL MATCH,550
251907,FULL MATCH,550
251908,FULL MATCH,550
251909,FULL MATCH,550
251911,FULL MATCH,550
251912,FULL MATCH,540
251913,FULL MATCH,540
251914,FULL MATCH,540
251915,FULL MATCH,540
251916,FULL MATCH,540
251917,FULL MATCH,540
251918,FULL MATCH,540
251919,FULL MATCH,540
251921,FULL MATCH,738
251922,FULL MATCH,738
251924,FULL MATCH,"528, 738"
251925,FULL MATCH,528
251926,FULL MATCH,528
251927,FULL MATCH,528
251929,FULL MATCH,528
251930,FULL MATCH,738
251931,FULL MATCH,"528, 738"
251932,FULL MATCH,533
251933,FULL MATCH,533
251934,FULL MATCH,533
251935,FULL MATCH,533
251936,FULL MATCH,533
251937,FULL MATCH,533
251938,FULL MATCH,535
251939,FULL MATCH,738
251940,FULL MATCH,535
251941,FULL MATCH,535
251942,FULL MATCH,535
251943,FULL MATCH,535
251945,FULL MATCH,547
251946,FULL MATCH,547
251947,FULL MATCH,547
251948,FULL MATCH,547
251949,FULL MATCH,547
251950,FULL MATCH,547
251951,FULL MATCH,547
251952,FULL MATCH,547
251953,FULL MATCH,549
251954,FULL MATCH,549
251955,AMBIGUOUS MATCH,549
251958,FULL MATCH,549
251959,FULL MATCH,532
251960,FULL MATCH,532
251961,FULL MATCH,532
251962,FULL MATCH,532
251963,FULL MATCH,532
251964,FULL MATCH,532
251965,FULL MATCH,532
251967,FULL MATCH,532
251968,FULL MATCH,548
251969,FULL MATCH,548
251970,FULL MATCH,548
251971,FULL MATCH,548
251972,FULL MATCH,548
251973,FULL MATCH,548
251974,FULL MATCH,548
251975,FULL MATCH,548
251976,FULL MATCH,548
251977,FULL MATCH,548
251978,FULL MATCH,630
251979,FULL MATCH,630
251980,FULL MATCH,630
251981,FULL MATCH,630
251982,NO MATCH,
251983,FULL MATCH,630
251984,FULL MATCH,542
251985,FULL MATCH,542
251986,FULL MATCH,542
251988,NO MATCH,
251989,FULL MATCH,542
251990,FULL MATCH,"525, 526"
251992,FULL MATCH,526
251993,NO MATCH,
251994,FULL MATCH,526
251995,FULL MATCH,526
251996,FULL MATCH,631
252001,FULL MATCH,544
252002,FULL MATCH,544
252003,FULL MATCH,544
252004,FULL MATCH,544
252005,FULL MATCH,544
